Latitude_fireFile,Longitude_fireFile,brightness,scan,track,bright_t31,frp,daynight,type,date_Time_fireFile,MDL,wind_measurements,fire_occurred
34.2925,-119.0659,364.3,2.0,1.4,294.3,280.5,N,0,2019-11-01 06:00:00,0.1,7.134836,1
34.2956,-119.1133,316.2,2.0,1.4,283.3,44.2,N,0,2019-11-01 06:00:00,0.1,7.134836,1
34.2983,-119.0929,334.4,1.0,1.0,286.2,36.6,N,0,2019-11-01 10:00:00,0.1,10.011785999999999,1
34.2998,-119.1038,323.4,1.0,1.0,282.1,23.0,N,0,2019-11-01 10:00:00,0.1,10.011785999999999,1
34.3002,-119.0909,337.8,2.0,1.4,288.3,114.7,N,0,2019-11-01 06:00:00,0.1,7.134836,1
34.3048,-119.0688,310.1,2.0,1.4,289.2,29.8,N,0,2019-11-01 06:00:00,0.1,7.134836,0
34.3073,-119.0911,338.2,1.0,1.0,285.5,41.1,N,0,2019-11-01 10:00:00,0.1,10.011785999999999,1
34.3121,-119.0956,333.1,2.0,1.4,287.4,94.8,N,0,2019-11-01 06:00:00,0.1,7.134836,1
34.3158,-119.0878,321.4,1.3,1.1,307.2,14.5,D,0,2019-11-01 21:00:00,0.1,3.3372619999999995,0
34.3162,-119.0893,357.4,1.0,1.0,288.2,81.1,N,0,2019-11-01 10:00:00,0.1,10.011785999999999,1
34.317,-119.0721,373.9,2.0,1.4,296.4,360.9,N,0,2019-11-01 06:00:00,0.1,7.134836,1
34.3173,-119.0745,332.8,1.9,1.4,306.0,61.8,D,0,2019-11-01 19:00:00,0.1,3.107106,1
34.3211,-119.0929,346.6,1.9,1.4,303.9,123.5,D,0,2019-11-01 19:00:00,0.1,3.107106,1
34.3237,-119.0766,330.2,1.0,1.0,287.5,30.3,N,2,2019-11-01 10:00:00,0.1,10.011785999999999,1
34.3242,-119.0997,300.7,2.0,1.4,284.2,15.3,N,0,2019-11-01 06:00:00,0.1,7.134836,0
34.3252,-119.0876,306.3,1.0,1.0,283.8,8.3,N,0,2019-11-01 10:00:00,0.1,10.011785999999999,0
34.3286,-119.0779,340.8,2.0,1.4,288.2,127.5,N,0,2019-11-01 06:00:00,0.1,7.134836,1
34.329,-119.0698,324.3,1.9,1.4,303.6,37.4,D,0,2019-11-01 19:00:00,0.1,3.107106,1
34.3295,-119.053,314.5,1.0,1.0,288.7,13.3,N,2,2019-11-01 10:00:00,0.1,10.011785999999999,0
34.3311,-119.064,330.3,1.0,1.0,290.2,29.6,N,2,2019-11-01 10:00:00,0.1,10.011785999999999,1
34.3326,-119.0749,337.1,1.0,1.0,287.4,39.6,N,2,2019-11-01 10:00:00,0.1,10.011785999999999,1
34.3331,-119.0557,452.8,2.0,1.4,315.3,2075.5,N,2,2019-11-01 06:00:00,0.1,7.134836,1
34.3385,-119.0514,321.3,1.0,1.0,288.1,20.3,N,2,2019-11-01 10:00:00,0.1,10.011785999999999,1
34.3401,-119.0623,312.3,1.0,1.0,284.4,12.0,N,2,2019-11-01 10:00:00,0.1,10.011785999999999,0
34.3517,-118.5041,319.0,1.2,1.1,301.2,12.6,D,2,2019-10-11 19:00:00,0.1,3.2221839999999995,0
34.3536,-118.5006,318.5,1.0,1.0,284.5,18.6,N,2,2019-10-12 06:00:00,0.1,1.841248,1
34.3747,-118.5263,321.8,1.0,1.0,304.6,12.2,D,2,2019-11-06 21:00:00,0.1,1.380936,1
34.3762,-118.5153,349.0,1.0,1.0,305.0,54.6,D,2,2019-11-06 21:00:00,0.1,1.380936,1
34.3789,-118.818,312.9,1.1,1.0,293.1,10.3,D,0,2019-02-25 21:00:00,0.1,3.3372619999999995,0
34.3808,-118.8062,313.6,1.1,1.0,292.3,10.9,D,0,2019-02-25 21:00:00,0.1,3.3372619999999995,0
34.3865,-118.806,302.3,2.5,1.5,289.9,16.9,D,0,2019-02-25 19:00:00,0.1,1.380936,0
34.4049,-119.5072,300.1,1.2,1.1,290.0,3.4,D,2,2019-01-03 19:00:00,0.1,2.186482,0
34.4098,-119.5301,303.1,1.0,1.0,290.9,4.2,D,2,2019-02-07 21:00:00,0.1,2.87695,0
34.4113,-119.5193,315.4,1.0,1.0,291.5,12.9,D,2,2019-02-07 21:00:00,0.1,2.87695,1
35.0212,-120.5153,302.7,1.1,1.1,290.9,3.8,D,0,2019-01-30 19:00:00,0.1,1.035702,0
35.2039,-118.7959,304.4,1.0,1.0,289.5,5.0,D,0,2019-11-21 19:00:00,0.1,3.107106,0
35.2393,-118.7682,325.7,1.3,1.2,302.1,25.5,D,0,2019-10-19 21:00:00,0.1,3.4523399999999995,1
35.2475,-118.7653,319.2,1.3,1.1,306.9,12.9,D,0,2019-10-15 19:00:00,0.1,2.992028,0
35.2488,-118.7693,322.1,2.4,1.5,303.0,31.7,D,0,2019-06-01 19:00:00,0.1,1.496014,0
