Latitude_fireFile,Longitude_fireFile,brightness,scan,track,bright_t31,frp,daynight,type,date_Time_fireFile,MDL,wind_measurements,Chance_of_fire
34.4183,-119.2199,356.7,2.4,1.5,296.1,244.3,D,0,2017-12-05 22:00:00,0.1,0.690468,93
34.4183,-119.1604,309.8,1.1,1.0,284.3,14.4,N,0,2017-12-06 10:00:00,0.1,1.6110919999999997,78
34.4185,-119.2019,325.5,2.6,1.5,285.5,93.1,N,0,2017-12-06 05:00:00,0.1,0.920624,46
34.4188,-119.4977,360.9,1.8,1.3,293.5,212.2,N,0,2017-12-12 06:00:00,0.1,2.416638,100
34.4188,-119.1573,362.8,1.6,1.2,294.2,169.4,D,0,2017-12-05 18:00:00,0.1,0.690468,100
34.419,-119.4702,355.0,2.6,1.6,272.9,281.7,N,0,2017-12-10 09:00:00,0.1,0.920624,100
34.4192,-119.4829,365.5,1.0,1.0,281.7,95.3,D,0,2017-12-10 19:00:00,0.1,2.186482,94
34.4196,-119.5213,368.1,1.0,1.0,309.8,107.0,D,0,2017-12-11 21:00:00,0.1,1.841248,100
34.4197,-119.5025,336.8,1.1,1.0,286.9,43.0,N,0,2017-12-11 10:00:00,0.1,0.920624,100
34.4199,-119.4949,309.3,1.0,1.0,286.3,13.0,N,0,2017-12-13 10:00:00,0.1,1.9563259999999998,77
34.4199,-119.1725,311.1,1.1,1.1,285.0,15.7,N,0,2017-12-06 10:00:00,0.1,1.6110919999999997,82
34.4202,-119.1959,363.5,2.4,1.5,293.0,307.5,D,0,2017-12-05 22:00:00,0.1,0.690468,100
34.4203,-119.5297,357.6,1.8,1.3,292.7,186.4,N,0,2017-12-12 06:00:00,0.1,2.416638,100
34.4203,-119.4765,302.5,1.4,1.2,286.1,9.3,N,0,2017-12-11 06:00:00,0.1,2.416638,29
34.4207,-119.494,380.2,1.0,1.0,280.6,148.7,D,0,2017-12-10 19:00:00,0.1,2.186482,100
34.4214,-119.5101,378.8,1.0,1.0,309.9,146.4,D,0,2017-12-11 21:00:00,0.1,1.841248,100
34.4214,-119.5061,302.4,1.0,1.0,285.2,8.4,N,0,2017-12-13 10:00:00,0.1,1.9563259999999998,49
34.422,-119.5112,389.2,1.8,1.3,299.3,456.1,N,0,2017-12-12 06:00:00,0.1,2.416638,100
34.4221,-119.5154,381.8,2.8,1.6,298.5,709.3,D,0,2017-12-11 19:00:00,0.1,0.920624,94
34.4222,-119.5088,306.1,4.5,1.9,281.5,76.4,N,0,2017-12-12 11:00:00,0.1,1.380936,8
34.4222,-119.5052,351.7,1.0,1.0,273.8,57.0,D,0,2017-12-10 19:00:00,0.1,2.186482,97
34.4223,-119.17,367.5,2.4,1.5,294.0,355.5,D,0,2017-12-05 22:00:00,0.1,0.690468,100
34.4224,-119.5245,330.9,1.4,1.2,287.9,50.0,N,0,2017-12-11 06:00:00,0.1,2.416638,100
34.4225,-119.1934,353.9,1.6,1.2,293.7,125.1,D,0,2017-12-05 18:00:00,0.1,0.690468,97
34.423,-119.1968,311.5,1.1,1.1,283.7,16.2,N,0,2017-12-06 10:00:00,0.1,1.6110919999999997,83
34.4231,-119.4989,331.2,1.0,1.0,298.6,22.1,D,0,2017-12-11 21:00:00,0.1,1.841248,63
34.4233,-119.1505,318.1,2.5,1.5,283.2,61.3,N,0,2017-12-06 05:00:00,0.1,0.920624,36
34.4237,-119.5162,335.7,1.0,1.0,272.8,28.5,D,0,2017-12-10 19:00:00,0.1,2.186482,72
34.4238,-119.4928,327.9,1.8,1.3,288.3,64.7,N,0,2017-12-12 06:00:00,0.1,2.416638,100
34.4242,-119.2492,342.9,2.4,1.5,294.5,158.3,D,0,2017-12-05 22:00:00,0.1,0.690468,84
34.4243,-119.1752,347.3,2.6,1.5,288.8,227.1,N,0,2017-12-06 05:00:00,0.1,0.920624,100
34.4244,-119.2119,500.0,1.6,1.3,345.1,3231.2,D,0,2017-12-05 18:00:00,0.1,0.690468,100
34.4246,-119.5104,379.2,2.8,1.6,299.5,657.5,D,0,2017-12-11 19:00:00,0.1,0.920624,94
34.4252,-119.509,384.7,1.4,1.2,297.9,282.7,N,0,2017-12-11 06:00:00,0.1,2.416638,100
34.426,-119.225,336.0,2.4,1.5,295.2,111.8,D,0,2017-12-05 22:00:00,0.1,0.690468,35
34.4263,-119.23,500.0,1.6,1.3,319.4,3246.5,D,0,2017-12-05 18:00:00,0.1,0.690468,100
34.4271,-119.5382,325.9,1.8,1.3,290.2,57.9,N,0,2017-12-12 06:00:00,0.1,2.416638,100
34.4271,-119.4895,328.8,1.1,1.0,292.3,30.1,N,0,2017-12-11 10:00:00,0.1,0.920624,100
34.4271,-119.2016,308.6,1.5,1.2,291.5,11.8,D,0,2017-12-06 19:00:00,0.1,0.920624,38
34.4276,-119.4771,321.5,4.2,1.9,288.5,166.9,N,0,2017-12-12 09:00:00,0.1,0.230156,100
34.4278,-119.1592,339.0,1.1,1.0,289.8,51.3,N,0,2017-12-06 10:00:00,0.1,1.6110919999999997,100
34.4279,-119.4937,338.9,1.4,1.2,289.2,68.3,N,0,2017-12-11 06:00:00,0.1,2.416638,100
34.4287,-119.523,334.8,1.0,1.0,301.6,29.1,D,0,2017-12-11 21:00:00,0.1,1.841248,78
34.4287,-119.5201,374.1,1.8,1.3,295.3,309.1,N,0,2017-12-12 06:00:00,0.1,2.416638,100
34.4287,-119.1507,306.6,1.5,1.2,291.5,7.9,D,0,2017-12-06 19:00:00,0.1,0.920624,38
