Latitude_fireFile,Longitude_fireFile,brightness,scan,track,bright_t31,frp,daynight,type,Sample Measurement,Units of Measure,MDL,fire_occurred
38.4915,-121.8453,326.3,1.0,1.0,309.6,14.6,D,0,178.0,Degrees Compass,0.1,1
38.4796,-121.8281,316.7,3.4,1.7,301.4,32.1,D,0,4.5,Knots,0.1,0
38.4796,-121.8281,316.7,3.4,1.7,301.4,32.1,D,0,176.0,Degrees Compass,0.1,0
39.318,-121.6861,322.5,1.9,1.3,304.3,24.8,D,0,0.5,Knots,0.1,1
39.318,-121.6861,322.5,1.9,1.3,304.3,24.8,D,0,116.0,Degrees Compass,0.1,1
34.0206,-117.6324,344.4,1.4,1.2,291.4,83.1,N,2,2.4,Knots,0.1,1
34.0206,-117.6324,344.4,1.4,1.2,291.4,83.1,N,2,252.0,Degrees Compass,1.0,1
34.0141,-117.6395,339.1,1.4,1.2,290.9,68.2,N,2,2.4,Knots,0.1,1
34.0141,-117.6395,339.1,1.4,1.2,290.9,68.2,N,2,252.0,Degrees Compass,1.0,1
34.0114,-117.6248,314.2,1.4,1.2,290.4,20.7,N,2,2.4,Knots,0.1,1
34.0114,-117.6248,314.2,1.4,1.2,290.4,20.7,N,2,252.0,Degrees Compass,1.0,1
34.0234,-117.647,303.7,1.4,1.2,290.9,8.9,N,2,2.4,Knots,0.1,0
34.0234,-117.647,303.7,1.4,1.2,290.9,8.9,N,2,252.0,Degrees Compass,1.0,0
38.4836,-121.833,317.2,3.4,1.7,303.5,40.7,D,0,5.7,Knots,0.1,0
38.4836,-121.833,317.2,3.4,1.7,303.5,40.7,D,0,163.0,Degrees Compass,0.1,0
38.4806,-121.8289,315.7,3.4,1.7,303.5,36.0,D,0,5.7,Knots,0.1,1
38.4806,-121.8289,315.7,3.4,1.7,303.5,36.0,D,0,163.0,Degrees Compass,0.1,1
39.1323,-121.5735,328.2,1.2,1.1,309.3,18.2,D,2,0.8,Knots,0.1,1
39.1323,-121.5735,328.2,1.2,1.1,309.3,18.2,D,2,8.0,Degrees Compass,0.1,1
38.4818,-121.8397,332.2,1.4,1.2,300.1,41.0,D,0,5.0,Knots,0.1,1
38.4818,-121.8397,332.2,1.4,1.2,300.1,41.0,D,0,198.0,Degrees Compass,0.1,1
38.4821,-121.846,332.3,1.0,1.0,308.3,23.3,D,0,4.1,Knots,0.1,1
38.4821,-121.846,332.3,1.0,1.0,308.3,23.3,D,0,188.0,Degrees Compass,0.1,1
39.3315,-121.7013,310.1,3.2,1.7,298.3,23.5,D,0,2.8,Knots,0.1,0
39.3315,-121.7013,310.1,3.2,1.7,298.3,23.5,D,0,153.0,Degrees Compass,0.1,0
40.5154,-121.5756,331.9,1.2,1.1,286.7,40.0,D,0,3.5,Knots,0.1,1
40.5154,-121.5756,331.9,1.2,1.1,286.7,40.0,D,0,230.0,Degrees Compass,0.1,1
40.517,-121.5614,324.3,1.2,1.1,286.9,27.2,D,0,3.5,Knots,0.1,1
40.517,-121.5614,324.3,1.2,1.1,286.9,27.2,D,0,230.0,Degrees Compass,0.1,1
40.5208,-121.5571,308.0,1.1,1.0,276.6,13.2,N,0,3.9,Knots,0.1,1
